price,sqft_m2,link,rooms,address
5000,,http://idealista.com/inmueble/31256002/,,Chalet en Ciudalcampo
2650,,http://idealista.com/inmueble/31252699/,,"Piso en Encinar de los Reyes, La Moraleja"
875,,http://idealista.com/inmueble/25900078/,,"Piso en avenida Navarrondan, 22, Los Arroyos, San Sebastián de los Reyes"
5300,,http://idealista.com/inmueble/27966981/,,"Chalet en Encinar de los Reyes, La Moraleja"
3000,,http://idealista.com/inmueble/31233537/,,"Chalet en El Soto de la Moraleja, La Moraleja"
550,,http://idealista.com/inmueble/31021699/,,"Chalet pareado en navarro, 10, Lozoyuela-Navas-Sieteiglesias"
4000,,http://idealista.com/inmueble/30859563/,,Casa o chalet independiente en Ciudalcampo
3500,,http://idealista.com/inmueble/31213751/,,"Piso en calle del camino del cura, 126, Encinar de los Reyes, La Moraleja"
1800,,http://idealista.com/inmueble/31185128/,,"Chalet pareado en paseo de los parques, 38, Encinar de los Reyes, La Moraleja"
950,,http://idealista.com/inmueble/31119395/,,"Piso en calle del olivar, Ensanche, Alcobendas"
550,,http://idealista.com/inmueble/31288639/,,"Piso en calle limón verde, Algete"
550,,http://idealista.com/inmueble/31288595/,,"Piso en los olivos, Algete"
1500,,http://idealista.com/inmueble/31288390/,,"Chalet pareado en miramadrid, Miramadrid, Paracuellos de Jarama"
1200,,http://idealista.com/inmueble/31284743/,,"Chalet adosado en calle océano pacífico, Miramadrid, Paracuellos de Jarama"
1050,,http://idealista.com/inmueble/31283538/,,"Piso en calle los cuadros, Miramadrid, Paracuellos de Jarama"
1900,,http://idealista.com/inmueble/31276170/,,"Piso en paseo de los parques, Encinar de los Reyes, La Moraleja"
875,,http://idealista.com/inmueble/31274257/,,"Chalet adosado en calle de la hierbabuena, El Olivar - La Magdalena, Colmenar Viejo"
2200,,http://idealista.com/inmueble/1984592/,,"Chalet adosado en avenida de la Dehesa, 2, Dehesa Vieja-Puente Cultural, San Sebastián de los Reyes"
950,,http://idealista.com/inmueble/31270770/,,"Piso en avenida de la ermita, Alcobendas Centro, Alcobendas"
1200,,http://idealista.com/inmueble/31259667/,,"Chalet adosado en calle océano pacífico, Miramadrid, Paracuellos de Jarama"
1350,,http://idealista.com/inmueble/31259508/,,"Chalet pareado en calle de la uva, Miramadrid, Paracuellos de Jarama"
5300,,http://idealista.com/inmueble/31258716/,,"Chalet pareado en agatha christie, Encinar de los Reyes, La Moraleja"
5000,,http://idealista.com/inmueble/25565940/,,"Chalet adosado en El Soto de la Moraleja, La Moraleja"
2500,,http://idealista.com/inmueble/28784281/,,"Chalet adosado en calle Azalea, 410, El Soto de la Moraleja, La Moraleja"
1300,,http://idealista.com/inmueble/2002294/,,"Chalet pareado en calle Oceano Atlantico, 142, Miramadrid, Paracuellos de Jarama"
500,,http://idealista.com/inmueble/28065230/,,"Piso en calle Pino, 4, Ajalvir"
1100,,http://idealista.com/inmueble/2090935/,,"Piso en calle Palestina, 17, Norte, Alcobendas"
1100,,http://idealista.com/inmueble/31201384/,,"Chalet adosado en calle cruz de piedra, 21, Cobeña"
2000,,http://idealista.com/inmueble/31132133/,,"Piso en paseo de los parques, Encinar de los Reyes, La Moraleja"
700,,http://idealista.com/inmueble/31081819/,,"Piso en avenida de madrid, San Agustin de Guadalix"
250,,http://idealista.com/inmueble/26777113/,,"Casa o chalet independiente en avenida España, 1, El Molar"
400,,http://idealista.com/inmueble/30278912/,,"Chalet pareado en calle de Manuel Fernández del Pozo, 3, Garganta de los Montes"
4150,,http://idealista.com/inmueble/31287669/,,Chalet pareado en La Moraleja
690,,http://idealista.com/inmueble/31271403/,,"Piso en avenida barranco del agua, 47, Cobeña"
4500,,http://idealista.com/inmueble/31262869/,,"Casa o chalet independiente en Encinar de los Reyes, La Moraleja"
4500,,http://idealista.com/inmueble/31259064/,,Casa o chalet independiente en La Moraleja
2200,,http://idealista.com/inmueble/28208971/,,"Dúplex en Encinar de los Reyes, La Moraleja"
7500,,http://idealista.com/inmueble/31251728/,,Casa o chalet independiente en La Moraleja
2250,,http://idealista.com/inmueble/31244934/,,"Piso en Encinar de los Reyes, La Moraleja"
3300,,http://idealista.com/inmueble/31028327/,,"Chalet pareado en paseo de los parques, Encinar de los Reyes, La Moraleja"
2000,,http://idealista.com/inmueble/30947127/,,"Chalet pareado en paseo de los parques, 32, Encinar de los Reyes, La Moraleja"
1750,,http://idealista.com/inmueble/30946864/,,"Chalet pareado en paseo de los parques, 31, Encinar de los Reyes, La Moraleja"
2200,,http://idealista.com/inmueble/30926522/,,"Chalet pareado en paseo de los parques, 38, Encinar de los Reyes, La Moraleja"
1600,,http://idealista.com/inmueble/30923554/,,"Chalet pareado en paseo de los parques, 31, Encinar de los Reyes, La Moraleja"
1600,,http://idealista.com/inmueble/30876478/,,"Piso en paseo de los parques, 30, Encinar de los Reyes, La Moraleja"
1350,,http://idealista.com/inmueble/30876458/,,"Piso en paseo de los parques, 30, Encinar de los Reyes, La Moraleja"
5500,,http://idealista.com/inmueble/30555531/,,"Chalet pareado en Encinar de los Reyes, La Moraleja"
3300,,http://idealista.com/inmueble/30423744/,,Chalet pareado en La Moraleja
1650,,http://idealista.com/inmueble/30256993/,,"Chalet pareado en paseo de los Parques, 31, Encinar de los Reyes, La Moraleja"
1700,,http://idealista.com/inmueble/29833521/,,"Chalet pareado en paseo de los Parques, 31, Encinar de los Reyes, La Moraleja"
2100,,http://idealista.com/inmueble/29738110/,,"Chalet pareado en paseo de los Parques, 32, Encinar de los Reyes, La Moraleja"
1800,,http://idealista.com/inmueble/28664438/,,"Chalet pareado en paseo de los Parques, 38, Encinar de los Reyes, La Moraleja"
2500,,http://idealista.com/inmueble/31254636/,,"Chalet adosado en calle dalia, El Soto de la Moraleja, La Moraleja"
2100,,http://idealista.com/inmueble/30111007/,,"Piso en Encinar de los Reyes, La Moraleja"
415,,http://idealista.com/inmueble/31169597/,,"Piso en avenida hoyos, 8, Miramadrid, Paracuellos de Jarama"
4000,,http://idealista.com/inmueble/31286326/,,Casa o chalet independiente en La Moraleja
1300,,http://idealista.com/inmueble/31263701/,,"Ático en El Soto de la Moraleja, La Moraleja"
1700,,http://idealista.com/inmueble/31226417/,,"Chalet pareado en Miramadrid, Paracuellos de Jarama"
2100,,http://idealista.com/inmueble/27700739/,,Casa o chalet independiente en Santo Domingo
1100,,http://idealista.com/inmueble/25386848/,,"Piso en calle Sueños, Norte, Alcobendas"
800,,http://idealista.com/inmueble/31252268/,,"Piso en alcalde lorenzo gines brandin, 7, San Agustin de Guadalix"
1500,,http://idealista.com/inmueble/31251705/,,"Dúplex en paseo de las perdices, 69, Ciudalcampo"
1900,,http://idealista.com/inmueble/31141938/,,"Piso en paseo de los parques, Encinar de los Reyes, La Moraleja"
1100,,http://idealista.com/inmueble/31122192/,,"Casa o chalet independiente en paseo de las arroyas, Berrocales de Jarama, Paracuellos de Jarama"
1500,,http://idealista.com/inmueble/31108718/,,"Casa o chalet independiente en calle de las esparteras, Altos de Jarama, Paracuellos de Jarama"
750,,http://idealista.com/inmueble/30991772/,,"Chalet pareado en calle Ecuador, 39, Torrelaguna"
3000,,http://idealista.com/inmueble/31281198/,,"Chalet adosado en El Soto de la Moraleja, La Moraleja"
2000,,http://idealista.com/inmueble/31280714/,,"Chalet pareado en El Soto de la Moraleja, La Moraleja"
2400,,http://idealista.com/inmueble/31264238/,,"Piso en Encinar de los Reyes, La Moraleja"
2200,,http://idealista.com/inmueble/31263767/,,"Chalet adosado en El Soto de la Moraleja, La Moraleja"
2100,,http://idealista.com/inmueble/31253736/,,"Chalet adosado en El Soto de la Moraleja, La Moraleja"
400,,http://idealista.com/inmueble/31086262/,,"Piso en calle de los Frailes, Manzanares el Real"
1150,,http://idealista.com/inmueble/31052790/,,"Piso en calle juan herrera, Vega de la Moraleja, San Sebastián de los Reyes"
950,,http://idealista.com/inmueble/30883328/,,"Chalet adosado en calle hortensia, 35, Cobeña"
1400,,http://idealista.com/inmueble/30768617/,,"Piso en sector islas, Segunda Fase, Tres Cantos"
950,,http://idealista.com/inmueble/30497638/,,"Casa o chalet independiente en carretera Miraflores a Canencia Km. 21 Chalet, Garganta de los Montes"
1400,,http://idealista.com/inmueble/31222071/,,"Chalet adosado en colonia de las puertas verdes, Ciudalcampo"
1200,,http://idealista.com/inmueble/31211348/,,"Chalet pareado en calle gualeguay, Algete"
900,,http://idealista.com/inmueble/31143429/,,"Piso en avenida séneca, Vega de la Moraleja, San Sebastián de los Reyes"
2600,,http://idealista.com/inmueble/31111952/,,"Chalet adosado en calle de la hiedra, El Soto de la Moraleja, La Moraleja"
2600,,http://idealista.com/inmueble/31110742/,,"Chalet adosado en calle de la hiedra, El Soto de la Moraleja, La Moraleja"
600,,http://idealista.com/inmueble/31255454/,,"Estudio en avenida del cerro del águila, 2, Los Arroyos, San Sebastián de los Reyes"
425,,http://idealista.com/inmueble/31250947/,,"Piso en calle de la salud, Manzanares el Real"
464,,http://idealista.com/inmueble/31022229/,,"Chalet adosado en halcon, 49, El Berrueco"
2100,,http://idealista.com/inmueble/30770366/,,"Chalet en El Soto de la Moraleja, La Moraleja"
326,,http://idealista.com/inmueble/30535581/,,"Piso en calle Potro, 21, Robledillo de la Jara"
4000,,http://idealista.com/inmueble/30041270/,,Chalet adosado en La Moraleja
700,,http://idealista.com/inmueble/25252301/,,"Piso en Parque Tecnológico, Tres Cantos"
1200,,http://idealista.com/inmueble/31252412/,,"Casa o chalet independiente en avenida de la tribuna, 1, Fuente del Fresno"
1900,,http://idealista.com/inmueble/31227053/,,"Casa o chalet independiente en mesa del monte, Altos de Jarama, Paracuellos de Jarama"
600,,http://idealista.com/inmueble/31221271/,,"Piso en calle del parque, Manzanares el Real"
2200,,http://idealista.com/inmueble/31220024/,,"Chalet adosado en calle azalea, 283, El Soto de la Moraleja, La Moraleja"
1200,,http://idealista.com/inmueble/31202763/,,"Chalet adosado en calle miguel hernández, 83, Cobeña"
750,,http://idealista.com/inmueble/31200708/,,"Piso en madrid, Primera Fase - Nuevo Tres Cantos, Tres Cantos"
800,,http://idealista.com/inmueble/31156410/,,"Chalet adosado en cervantes, Daganzo de Arriba"
4200,,http://idealista.com/inmueble/28485720/,,Casa o chalet independiente en Ciudalcampo
600,,http://idealista.com/inmueble/31074025/,,"Dúplex en calle monte albillo, 15, Algete"
4500,,http://idealista.com/inmueble/31287654/,,Casa o chalet independiente en Ciudalcampo
1490,,http://idealista.com/inmueble/31287595/,,Chalet adosado en Santo Domingo
650,,http://idealista.com/inmueble/31276129/,,"Estudio en avenida del juncal, 11, Vega de la Moraleja, San Sebastián de los Reyes"
500,,http://idealista.com/inmueble/31270902/,,"Piso en cruz, 20, Alcobendas Centro, Alcobendas"
